,singer_name,birth_year,death_year,years_active,other_occupations,instruments_played,personal_life,career
32,Kamal Addararachchi,1962,,1977–present,"Actor, singer, teacher",,,"The play, Ane Ablick, was staged in Colombo in 1978, marked Kamal's first significant public theatre performance. Addararachchi, who broke into the silver screen with Gamini Fonseka's Sagarayak Meda rose to immense popularity with hits such as Saptha Kanya.He is noted for his performances in films such as Saptha Kanya by H. D. Premaratne, Agnidahaya by Jayantha Chandrasiri and teldramas like Hiruta Muvaven by Herbert Ranjith Peiris, Rathu Rosa by Ranjan De Silva, and Weda Hamine and Dandubasna Maanaya by Jayantha Chandrasiri.His performance on the mini screen for Dandubasna Maanaya was twice rewarded at the inaugural Sumathi Tele Awards ceremony in 1995, when he received the award for Best Supporting Actor as well as the Most Popular Actor Award. Kamal consider Dinal Samaranake a leading player as his mentor who was always prepared to offer valuable advice for himself especially when his spirits are down. Kamal was arguably the best actor among the younger generation.In July 2012, he appeared his first music video, with Mahendra Perera and Dayan Vitharana, for the song, ""Hithagaawa"" by Tilan Fernando and directed by Prasanna Andradi. The music video was released in first week of December 2012.He has not appeared in a teledrama since 2005.   "
33,Karunarathna Divulgane,,,,,,,
34,Kasun Kalhara,1981,,2000–present,"Musician, record producer","Vocals, guitar, piano, keyboard"," Kasun was born in Rajagiriya, Sri Lanka on 3 November 1981. His mother, Malani Bulathsinhala, was a veteran vocalist and his father H. M. Jayawardena was a renowned composer. He had a younger sister, Nirmani Chaya who died in 1991 at the age of three.Kalhara's music career started along with Indrachapa Liyanage and his schoolmates from Ananda College in the year 2000. His mother was highly supportive of his musical career. Once a newspaper interviewer asked her ""what is the most memorable day in your life?"" and she answered ""the day Maestro Premasiri Khemadasa hugged and wished my son Kasun Kalhara, following his first musical concert (Waves of Introspection). That warm hug from Maestro Kemadasa guaranteed that Kasun had a genuine talent and a clear future"".Kasun has held a number of solo concerts, collaborating with other artists such as ""Kasun Kalhara: Live in Concert"", ""Kasun Kalhara Unforgettable Live in Concert"", ""The Black Red White Concert"", ""Kasun Kalhara in Culture Shock"", ""4U: Live in Concert"" and ""Love U: Live in Concert"". Kasun Kalhara performed in Culture Shock (2013) and Kasun Kalhara in LoveU (2016/2017) Those three concerts became one of the most attended musical shows in history of Sri Lanka with over 5,000 fans gathering around at the Nelum Pokuna Mahinda Rajapaksa Theatre for all the three events.   ",
35,Keerthi Pasquel,1956,,1976–present,Singer,Bass guitar,"Keerthi Pasquel was born in the city of Hanthana, Kandy as the youngest of four older siblings. His parents were S. W. Leslin and Pasquel Wasam Gayaneris. His older siblings are Nalini, Rukmani Chandra, Padmasiri and Chitrani. Keerthi studied at Dharmaraja College up until his GCE O/level examination. Keerthi's passion for music was greatly influenced by his family where he grew up amidst soothing music all around his home. The melodious singing prowess of his mother was a huge influence on Keerthi. His father could play the harmonium. Keerthi was just ten years old when his father developed an illness and eventually passed away, eventually leaving his mother to shoulder the responsibility of five children as well as taking over her husband’s business. Keerthi's mother’s dream was to make him a doctor but he started to follow a course on lathe machinery at the Technical College, after his O Levels. His brother Padmasiri Pasquel was the first member of the family to bring a guitar to their home. He had joined a group called ‘Halians’ where he played the lead guitar. But Padmasiri never allowed Keerthi to touch the instrument, because he feared the boy might neglect studies if he focused on music. He had three cousin brothers – Bandula, Lalith and Ranjith, who frequently patronized their home to learn the guitar from Padmasiri. So Keerthi started learning about guitar chords from Bandula, on the sly. Gradually, Keerthi learnt the guitar secretly. He took part in school concerts as he could sing well. When he was in Grade 9, the school had a talent contest and Keerthi was the obvious choice in the singing segment. He even trained the final ten students with whom he himself competed. The grand finale was held at the Kandy Buddhist Centre. Keerthi sang Victor Rathnayake’s ‘Adawan Desin’. Unfortunately for him, the music orchestra backing him gave a low tempo and the song finally ended up like a poem. All his hopes of winning the contest were smashed. The guys whom he taught overtook him. But he never gave up. Having learnt the guitar from Bandula, Keerthi and a few teenage friends formed a small musical group which played at functions but was never paid. One day, Keerthi’s group was invited to perform at a wedding. Riyaldeen, having heard about Keerthi’s exceptional skills, invited him to join a group headed by Stanley Peiris as a bass guitarist. The band was named ‘GALAXIES’.  When  Keerthi was attending the technical course, he tried to join the Army band and went for interviews too. He was called for training during this period. But when he told this to Stanley Peiris, he had asked him to remain in the band as the bass guitarist.    Keerthi married Muditha Fernando in 1978 and had a daughter and son. His eldest daughter, Dinesha Pasquel is now married domiciled in the UK with her husband and son. His son, Kasun Pasquel works for Expolanka Group. Kasun is married to Chethana Ranasinghe who is also blooming in the music industry. In 1994 his first marriage ended and he married Chandana Mudalige in 1995. He has two daughters from Chandana – Charuni Pasquel who is a law graduate and Natalia Pasquel -  a business management graduate. Keerthi feels he is the luckiest father on earth because of the unity and caring attitudes of his four children.    ","As time went on, Keerthi became a permanent member of the 'Galaxies'. Though Keerthi played the bass guitar, at these recordings he was given small percussion instruments like maracas, clappers, triangle and bells. Keerthi was invited by Gretian Ananda to play the bass guitar for four new songs he was planning to record. Rookantha to be on the keyboard, Sarath Wickrema the accordion and Mahinda Bandara was slotted for the lead. The first milestone song was ‘ Etha Duraka Desa Pawela’.  Later on, Keerthi befriended Thilak Dias who had a unique playing style with the guitar with a gifted knack of playing it with his fingers giving an exceptional output. Since then Keerthi, being intrigued by Thilak’s style, also used this finger style on the bass guitar for all his recordings and he started getting more recordings as a bass guitarist. In addition to Stanley Peiris, Keerthi was fortunate to get work in the recordings of Sarath Dassanayake, Rohana Weerasinghe and other veterans of the time. He was invited to join Patrick Denipitiya’s Combo as a bass guitarist and vocalist singing songs of Clarence Wijewardana, Amaradewa, Nihal Nelson, Neville Fernando, Nanda Malini, Rukmani Devi and a host of others. This, he did even with Galaxies. Keerthi always believes that his present vocal prowess is blessed with a blend of all such great singers. He played as the bass guitar for Mount Chimes too.  As his brother Padmasiri returned to the country in 1982, they formed a band called ‘Colour Lite’ with Mahinda, Padmasiri, Gamini Perera and Ranjith Silva.It is during this time that Visharada Nanda Malini had been on the lookout for a male chorus singer. She had asked Stanley if he could recommend somebody. Stanley had suggested Keerthi’s name. This resulted in a memorable chapter in Keerthi’s musical career. From 1982 to 1985 he was a chorus singer and bass guitarist in Nanda Malini’s Sathyaye Geethaya, contributing for 530 concerts. That was an era when they had four shows every weekend. Sathyaye Geethaya was virtually an institution for Keerthi who learnt how to work methodically and organize things systematically. In the meantime, Keerthi also played for Lata Rathriya, Baig Geethika and concerts of Freddie Silva and Jothi Rathriya of H. R. Jothipala. In 1981, Keerthi helped his friend Sunil Dharmasena produce a cassette where Keerthi too contributed one of his songs, ‘Hanthane Nil Kanduweti Athare’ to the cassette. It went down on record as Keerthi’s first cassette song too. This unexpected turn of events, made Keerthi ambitious to do his own songs. This was the era when a cassette revolution was emerging in the country and Keerthi and his team mates were busy with recordings. Song recordings at Bishop’s House Joe Neth Studio had to cease by 10 pm. When there were days they finished off around 8.30 pm, the intervening time was used to record songs for Keerthi. An orchestra guy would make a melody and Keerthi would sing. Creations like Oba Ma Hamu Wu, Neela Ahase and Kavikaraye were songs that came as a result of such instant recordings done during the gaps. By then Keerthi had a collection of ten of his own songs. Keerthi used to play for ITN’s popular Madu Rasanga segment presented by veterans Ariyasiri Vithanage and Indunil Dissanayake. PLA Somapala was the producer. Generally, for Madu Rasanga, the original artistes and musicians mimed for the original tracks, but it was done skillfully. During one such recording in 1983, the original artiste had not turned up on time and the musicians had to idle for some time. The boys in the technical team, knowing Keerthi had some songs of his own suggested that Keerthi recorded one of his songs for Madu Rasanga. The boys enthusiastically did the recording ‘Neela Ahase Sende Walaa’, in the absence of producer PLA Somapala. In 1984, much to Keerthi’s surprise, this song was telecast on ITN’s Madu Rasanga and it became an overnight hit. That was Keerthi’s biggest turning point in his tuneful career and was followed up with another hit song ‘Sinhala Raja Kaale’. During the Nitin Mukesh concert at the Galle Face Green in 1985, Keerthi was an orchestra member. Suddenly Rajini Selvanayagam came up to them with a sheet of paper and wanted someone to do a nice Kaffirinna melody for the words ‘Sinhala Raja Kaale Newei’ since her troupe had a dance item lined up during the concert. Ranjith Perera instantly made a tune while Gretian, Mervyn Perera, Mahinda and Keerthi were slotted to sing it. But on the day of the show, there was only one microphone before Keerthi. TNL’s Shan Wickremesinghe did the video recording and it had picked only Keerthi’s voice. So, it automatically became Keerthi’s song later on. Keerthi’s maiden solo musical concert ‘Keerthi Gee Sankalpana’ was held on January 28, 1988 followed by another performance the following day at the Lumbini Theatre, bringing him incredible feedback from his fans. But circumstances led him to leave the band eventually and in 1989 he joined Super Fortunes led by Ranjith Perera.  Following a series of unsuccessful business ventures Keerthi and his family left to New Zealand for four years. Following his return, Suresh de Silva requested him to voice a melody he had given him in 1998. And that song was none other than ‘Kandula Ithin Samaweyan’. It became a hit and virtually marked the second innings of Keerthi’s musical journey. Keerthi revived his studio ‘Sonic Recording Studio’ with digital state of the art equipment and gave a great service to all artists in the music industry for a very nominal fee. He continued publishing his Sonic diary which listed the contact numbers of all those in the music field. This diary is of immense service to all those in the field even today. He went on many overseas musical tours very often to countries such as USA, Canada, United Kingdom, Italy, France, Japan, Middle East and performed in various musical shows and other events.     "
36,Kumar Navaratnam,,,,,,,
37,Lahiru Perera,1984,,2008–present,"
Singer
Musician
Music Producer
",,,
38,Lakshman Joseph de Saram,,,,,,,
39,Latha Walpola,1934,,,Play-Back Singer,," Walpola was born on 11 November 1934  in Mt Lavinia Colombo, to Joseph Fernando and Elizabeth Muriel. She was one of five children. Her mother, who was a teacher encouraged her daughter to become a vocal artist.  Walpola received her primary education at St.,Anthony College in Dehiwala-Mount Lavinia, wherein she led the church choir. She married Dharmadasa Walpola in 1959, later becoming known as Latha Walpola. A ceremonial wedding was held at Siri Kotha, Kollupitiya with a large gathering of guests and artists. The local police had to deploy extra men to control the massive crowd gathered outside Siri Kotha. The couple have three sons and a daughter. In the 1960s and early part of the 1970s, the couple became very popular.   ","Latha Walpola just was 12 years old when she was introduced to the country by Radio Ceylon as a member of Radio Ceylon's Choir in 1946. C.A. Fonseka, a family friend and radio, dramatist, brought her to Radio Ceylon to perform in his Sarala Gee programme with his son C.D. Fonseka. In 1947 Walpola sang her first solo song, ""Kandulu Denethe Vehena"", with lyrics by Sarath Wimalaweera and music composed by Vincent de Alwis, the resident violinist at Radio Ceylon. She then began to sing under the direction of Mohammed Gauss, P.L.A.Somapala and B.S.Perera, with these famous musicians incorporating her high-pitched tone into their musical creations. By 1950 she was a well known female singer in the country, covering the songs ""Sukomala Banda Lelawa"", ""Dunhinda Helena"" and ""Diyaluma Helena"", originally sung by Chitra Somapala. Walpola has recorded for both the Columbia and HMV record labels. The song ""Malbara Himidiriye Pipune Esala Araliya Mala"", sung with C.T. Fernando, is one of her most popular songs.Her most popular songs were composed by Dr. Premasiri Khemadasa and he appreciated her voice and singing capabilities many times.   "
40,La Bamba (film),,,1966–present,,,,
41,Lionel Ranwala,1939,2002,,"Musician, composer, singer, actor",,,"Ranwala's main interest was Sinhala folk music of Sri Lankan. He successfully brought Sinhala folk tunes and melodies to popular Sri Lankan music, preserving their originality. He studied music at the Panjab University, Chandigarh, India and has a sour knowledge of the field. Ranwala, who created a revolution in the local folk music scene along with his mentor W.B. Makuloluwa, started his teaching career at Arawwala MMV in 1959. He taught music at several leading schools including Ananda College, and Royal College, Colombo during a 38-year career.  He popularised local music in schools and formed the first 'Hevisi' band in a school – at Pannipitiya Dharmapala Vidyalaya in 1964. Ranwala was also a versatile actor and dramatist. One of his most memorable roles was in the first Sinhala opera 'Depano' directed by Makuloluwa. He also wrote and directed several children's dramas. He acted in several teledramas. His last teledrama was ""Rangamadala Samugani"" which was telecasted in Swarnawahini. He travelled all over the island collecting folk songs for posterity. A staunch defender of indigenous music, he released several cassettes containing experimental folk music, notably 'Ahase Innavalu' in 1999. He formed the 'Thaalama Foundation' for preserving folk music. ""Gama Ahulaggang"", ""May Awurudu kale"" and ""Wannam Sawudam"" are some of his most famous songs. He has two sons, Chirantha and Sahan. The elder, Chirantha is a presenter and producer at Swarnavahini. Sahan is also working at the Swarnawahini, but after his father's sudden death, has now taken the initiative to preserve and make people aware of Sinhala Folk Music, in the same way his father did. His son, Sahan Ranwala doing very well in preserving the legacy of his father.    "
42,Mariazelle Goonetilleke,,,1960s – Present,"Singer, Musician",VocalsGuitar,,
43,M.I.A. (rapper),1975,,2000–present,"
Rapper
singer
record producer
activist
","
Vocals
drum machine
percussion
","  Mathangi ""Maya"" Arulpragasam was born on 18 July 1975, in Hounslow, London, the daughter of Arul Pragasam, a Sri Lankan Tamil engineer, writer, and activist, and his wife, Kala, a seamstress. When she was six months old, her family moved to Jaffna in northern Sri Lanka, where her brother Sugu was born. There, her father adopted the name Arular and became a political activist and founding member of the Eelam Revolutionary Organisation of Students (EROS), a political Tamil group affiliated with the LTTE. The first 11 years of Arulpragasam's life were marked by displacement caused by the Sri Lankan Civil War. Her family went into hiding from the Sri Lankan Army, and Arulpragasam had little contact with her father during this period. She has described her family as living in ""big-time"" poverty during her childhood but also recalls some of her happiest memories from growing up in Jaffna. Maya attended Catholic convent schools such as the Holy Family Convent, Jaffna, where she developed her art skills—painting in particular—to work her way up her class.During the civil war, soldiers would put guns through holes in the windows and shoot at the school, which she notes as ""fun."" Her classmates were trained to dive under the table or run next door to English-language schools that, according to her, ""wouldn't get shot."" Arulpragasam lived on a road alongside much of her extended family and played inside temples and churches in the town. Due to safety concerns, Arulpragasam's mother relocated herself and her children to Madras in India, where they lived in a derelict house and received sporadic visits from their father, who was introduced to the children as their ""uncle"" in order to protect them. The family, minus Arular, then resettled in Jaffna temporarily, only to see the war escalate further in northeast Sri Lanka. During this time, nine-year-old Arulpragasam's primary school was destroyed in a government raid.Her mother then returned with her children back to London in 1986, a week before Arulpragasam's 11th birthday, where they were housed as refugees. Her father arrived on the island and became an independent peace mediator between the two sides of the civil war in the late 1980s–2010. Arulpragasam spent the rest of her childhood and teenage years living on the Phipps Bridge Estate in the Mitcham district of south London, where she learned to speak English, while her mother brought the children up on a modest income. Arulpragasam entered the final year of primary school in the autumn of 1986 and quickly mastered the English language. Hers was one of only two Asian families on the estate at the time, in an atmosphere she has described as ""incredibly racist.""While living in England and raising her children, Arulpragasam's mother became a Christian in 1990 and worked as a seamstress for the Royal Family for much of her career. She worked from her home in London's Tooting area. Arulpragasam has had a difficult relationship with her father, due to his political activities in the 1980s and complete absence during much of her life. Prior to the release of the first album, which Arulpragasam had named after her father, he emailed her: ""This is Dad. Change the title of your album. I'm really proud. Just read about you in the Sri Lanka Times. Dad."" She chose not to change the album title. Arulpragasam attended the Ricards Lodge High School in Wimbledon. Following high school, she attended Central Saint Martins by gaining admittance through unconventional means despite not having formally applied. In 2000, she graduated from London's Central Saint Martins College of Art and Design with a degree in fine art, film, and video.   M.I.A. met DJ Diplo at the Fabric Club in London, in 2003, and the two were romantically involved for five years.From 2006 to 2008, M.I.A. lived in the Bedford–Stuyvesant neighbourhood of Brooklyn, New York, where she met Benjamin Bronfman, an American scion of the Bronfman business family and the Lehman banking family who founded Lehman Brothers. They became engaged and she gave birth to their son, Ikhyd Edgar Arular Bronfman, on 13 February 2009, three days after performing at the Grammy Awards. In February 2012, it was announced that she and Bronfman had split. In a 2013 interview with Ferrari Sheppard, M.I.A. commented on her relationship with Bronfman and his family's wealth: ""I think it's weird. It's not that I got with Ben and then suddenly I was a billionaire. You know? I got with Ben, and I realised that we do come from different worlds, but it's interesting that it is more about the concepts of, again, elitism and power. Who Ben is, on paper, sounds way more powerful than who I am because of where he comes from.""   ",
44,Mercy Edirisinghe,1945,2014,1964–2012,"Actress, Comedian, Singer",,"She was born on 18 December 1945 in Wellahenawatte, Issanpita, Ambepussa as the third child in a family of nine siblings. Her father Don Lorenzo Elvin Edirisinghe, worked in as a typesetter at the printing press of the Department of Examinations. Her mother Grace Perera was a housewife. She was first educated at Ambepussa Sarasavi College, later at Pamunuwila Roman Catholic College and at St. Joseph's College, Rambukkana Parakrama Mixed School in Kegalle. She had one elder sister: Gert, one elder brother: Leo, four younger sisters: Ranjani, Nimal, Lathika, Raaji and two younger brothers: Nimal and Sunil.Her late husband, Lalith Kotalawela was a Buddhist from Kalutara. The couple had no children. Her devotion to her fans was such that just after her wedding she acted in the stage drama 'Muthu Kumari' at the Lumbini Theater on her way to her honeymoon. Lalith died in 2002 by a tragic accident. Mercy once started a restaurant in Warakapola with Lalith in the year 2000. After his death she became ill, unable to sustain the restaurant.   ","Her first stage performance was in the play Maria Kurenthi performed while at the Pamunuwila Catholic Mixed School at the age of 7. Under the guidance of Father Ernest Poruthota, she participated to the church choir team, where she became an activist in the movement. Father Poruthota invited her to perform in the play Eldiyen Midi Rasata. Mercy entered the public stage in 1967 with Welikadaratne's plays Aluth Dawasak and Ugurata Hora. Meanwhile, she mastered the singing and playing by musician Jayatissa Alahakoon and Kandyan dance by mastering theatrical dance. Then she sent a postcard to an drma acting vacancy advertisement in the 'Visithura' newspaper. With that, she was selected for the play Nil Katarolu produced by Sugathapala de Silva, particularly due to her loud screamy voice. After a brilliant performance in the play, she was later invited to play a role of Japanese-Chinese woman in the play 'Thaththa' produced by Gunasena Galappaththi. According to Mercy, the most difficult play she acted in was Nalin Wijesekera's play Tikki Tikiri Tikirilia.In Pathiraja L.S. Dayananda's play Kwuruth Enne Na, she played an old character. She also performed in Sugathapala de Silva's plays Harima Badu Hayak, Dunna Dunu Gamuwe, Hitha Hoda Ammandi, Muthu Kumari, Thuraga Sanniya; Gunasena Galappaththi's plays Sanda Kinduru, Mudu Puththu; Prema Ranjith Tilakaratne's play Muhunu Sayaki Rookadayaki. However, her most notable stage drama acting came through the plays Tharavo Igilethi by Lucien Bulathsinhala and Ran Kanda by Chandrasena Dassanayake. In 1974, Mercy won the Best Actress Award at the State Drama Festival for her role in R.R. Samarakoon's stage drama 'Idama'. She won two other Best Actress awards in 1975 and 1976.In 1976, she made her maiden cinematic appearance with the film Walmathwuwo directed by Vasantha Obeysekera. Then she acted in many comedy and dramatic roles in the films: Diyamanthi, Paḷagæṭiyō Sakvithi Suvaya, Nuvan Rēṇu, Mutu Mæṇikē, Okkoma Rajavaru, Hondīn Nættam Narakin, Hita Honda Puthek, Asayi Bayayi and Dhavala Puṣhpaya. Mercy was also an 'A' grade radio dramatist acted on Buddhist, Christian literary dramas.Mercy was a very popular voice in Sri Lankan radio drama. She was the ""Doolittle"" on the radio drama Handiya Gedara and was the sister of Jane in Vajira, ""Ungu"" on Samanala Bedda, ""Ethana"" in Muwan Palessa and ""Bagalawathi Iskola Hamine"" in Rasara. Apart from radio, she acted in several television serials, particularly in comedic roles. She made a notable role in the popular comedy sitcom, Vinoda Samaya along with comedy trio - Annesley Dias, Berty Gunathilake and Samuel Rodrigo in 1983. Mercy last played in Lilantha Kumarasiri's serial Amanda with the character ""Podi Nona"".In 2014, she marked her 50th anniversary of her career and in recognition of her service to the arts, she was to be honored with a Lifetime Achievement Award at the 2014 State Drama Festival. Before her death, her autobiography was released titled ""Hela Hasa Rajina: Mercy Edirisinghe"" written by Niranjala Hemamalee Wedikkara.   "
45,Mignonne Fernando,1943,,1950–present,"Singer, songwriter, pianist","Singing, piano","At the age of seven, Mignonne won Radio Ceylon's Talent Contest. Her interest in law was overtaken by her passion for music, received formal training in Western classical music, speech and drama. This proved to be her greatest strength and an excellent foundation to her musical career that was to follow.   ",
46,Milton Mallawarachchi,1944,1998,1969–1998,"Singer, composer, playback singer","Vocals, Tabla, Sitar","Mallawarachchi was born on 7 April 1944 in Kotte, Colombo, Sri Lanka as the only child in the family. His father was Upasena Mallawarachchi and mother was Agnes Wickramarachchi. He lost his father at an early age, where he was a courageous child who struggled to win the battle of life with his mother in the midst of many hardships during his school days. He completed his education at Ananda Sastralaya, Kotte. After completing his education, he got his first job as a bill clerk at the Welikada Co-operative and later worked as a cashier at the Nawaloka business.On December 23, 1973, he married Swarnamala Malathi Panangala. The couple had four children: Ranil, Harshini, Nadija, and Tharaka. The song, ""Etha Epita Dura Akase"", written by Karunarathne Abeysekara for Mallawarachchi, is dedicated to his wife Swarna.Eldest son, Ranil Mallawarachchi, continues his father's legacy by performing his songs in shows and concerts. Ranil is married to Nirasha, a fashion blogger. The couple has one son and one daughter. Ranil's son, Pawan Mallawarachchi also entered music to his grandfather's legacy. Pawan is the youngest pilot to train as a pilot in Sri Lanka and Australia. Milton's younger son Tharaka is also a singer who sang the songs: Satuṭin Samugena, Virasaka Sitaṭa Lanvelā and A Dine Patan.He died on 10 March 1998, at the age of 53, and is buried in the Borella cemetery.   ","As an early singer in the music industry, he became more involved in Hindi singing and also excelled as a guitarist, dholak drummer and tabla player. He was a member of a short-lived musical band called the ""Sakyans"" and subsequently the ""La Ceylonians"" since 1965. Mallawarachchi's vocals on the latter group's Daha Duke Vidyahala and Mal Ravamal led to his discovery by producer Patrick Corea. Corea offered to record four songs with the Mallawarachchi: Oruwaka Pawena, Ran Kooduwak Oba Sadu, Sansare Sewanalle and Mangale Neth Mangale in 1969. These songs were released on the Exvee label as a double set of 78 rpm records in 1969 and gave Mallawarachchi his first popular hit with Oruwaka Pawena. It was the last 78 rpm record set issued for non-film songs in Sri Lanka. These songs created a unique style of singing for Mallawarachchi, and all the melodies he sang became a mesmerising love song that captivated thousands of fans.As the song became popular among radio listeners, he had to undergo a voice audition with the help of radio personalities Premakeerthi de Alwis and Ariyadasa Peiris, and in 1970 he became a Grade A singer at Sri Lanka Broadcasting Corporation. After the first hit, music composer Patrick Denipitiya gave the songs such as Ivuru Thala, Maa Haa Eda and Maa Nisa Oba a modern touch. The song Sayura Theredhi  helped him to become a huge success in outdoor musicals. Mallawarachchi sang songs by Karunaratne Abeysekera, K. D. K. Dharmawardena, Premakirthi de Alwis, Clarence Wijewardena, Upali Danawalawithana, Dharmasiri Gamage, Upali Kannangara, Ajantha Ranasinghe, Shelton Weeraratne, Kularatne Ariyawansa, Ananda Padmasiri, Vernon Perera, Chitrananda Abeysekera, Bandara K. Wijethunga and Vijaya Ramanayake. In 1969, Milton had the opportunity to sing the theme song Ran Dedunu Ran Patin composed by Siri Kularatne for the film Matara Achchi directed by Sathischandra Edirisinghe under the guidance of musician Victor Rathnayake. In 1970, he sang few songs  for the film Ran Onchilla directed by Dharma Sri Caldera under the music of Premasiri Khemadasa. Mallawarachchi debuted as a playback singer in the 1971 film, Poojithayo which was screened before Ran Onchilla. In this film, his first playback song was Sakwala Rathwana.His first duet was Bindu Bindu which was sung with R. Chitra. In 1974, musician Clarence Wijewardena composed the songs Gana Andure, Eda Rae, Mata Men Ohutada and Maga Thotadhii for an EP release on Gemstone. Wijewardena also wrote the popular songs Awasara Natha Mata, Sulange Pawe, Thaniwee Sitinai. In the same year, Mallawarachichi sang with Rukmani Devi on Clarence's song Prem Raja Dahane. After Rukmani's demise, he sang the song with Indrani Perera and Samitha Mudukonduwa. Until 1975, he recorded several radio songs composed by Victor Rathnayake such as Seethala Lana Pini, Paa Sinaha Ae, Obe Neth Epa and Sukha Wedana.One of Mallawarachchi's most successful songs was Me Mai Gaha Yata produced by Melroy Dharmaratne in 1976. It was released on the Silverline label as an EP along with Ran Mudu and two songs - Andanne Epa and Ma Samanalayak - by Shiromie Fernando.""  Mallawarachchi was fortunate to be able to perform the last vocals of the Gramophone era as well as the early vocals of the cassette era. In 1978, Mallawarachchi released the first music audio cassette in Sri Lankan Sinhala music history, ""Sanden Eha"", on the Tharanga label, under the guidance of Vijaya Ramanayake. Mallawarachchi never performed an overseas concert turning numerous invitations down because he was afraid to fly.He was the main male playback singer in the movie Senakeliya which was a box office hit in 1974. Its songs included Reyak Upadda and duets with Indrani Perera on ""Samanala Renak Se"" and duets with Victor Ratnayake and CD Fonseka. The music director was Patrick Denipitiya. In 1984, he was honored with the best playback singer award at the Sarasaviya Awards for Kendan Yannam sang with Priya Suriyasena and Gratien Ananda a song from Sena Samarasinghe's film Aethin Aethata. He has contributed backing vocals to nearly 150 films. It is reported that Mallawarachchi made the largest number of background songs for Gamini Fonseka started with song Reyak Upadda in 1974 film Senakeliya. At that time Gamini–Milton–Sarath was able to captivate the fans with a wave of film songs: Muwa Madahāsē, Ananga Ran Hīyen, Vikasita Pætuman (1978 film Aśā Dæsin), Mee Amba Aththē, Kīna Dam Miṭak (1981 film Chanchala Rēkhā).Meanwhile, he starred in only two films: Sena Samarasinghe's films Mal Kekulu (1980) and Yali Hamuwennai (1980). He also sang Sinhala songs for many Pakistani, Nepalese and Bangladeshi films such as Sadākal Rændēvā, Sinha Pæṭaw, Doankāraya, Ayya Nagō, Mis Lankā, Vana Ræjina, Sebaḷiyō, Sāgara Peraḷiya and Oṭṭuyi Bæruvaṭa. After his stint with Tharanga label, he later teamed up with Sing Lanka label, which introduced a number of popular songs until the 1990s. Some of them include: Andurin Piri, Hitavatānangē, Tæluvē Num̆baṭayi, Veedi Konē, Pæṇi Kurullanē, Sændævē Ranvalā, Palathuru Vikuṇana Malanuvanē, Yālē Ayālē Giyā and Punchi Sinā Kohēdo. Meanwhile, he sang the songs Ranil Puthe, Duwe Harshani, Pipunu Mal Dekaku and Tharaka Puthe for his four children.Mallawarachchi was a popular live attraction; at a time when there was no TV in Sri Lanka, his appearances at variety shows sponsored by the Ceylon Tobacco Company drew huge crowds. Mallawarachchi appeared alongside the Super Golden Chimes at the Super Concert 101/102 organized by Clarence. The one last song he recorded is Aga Rejiniya on the album ""Senehasa Biduwak"". Mallawarachchi sang the song Sanda Sulange Pawee for one last time for the television serial Hima Kadalla. In 1997, he sang for two movies (before the voice record by director of movie) Mohothin Mohotha and Re Ru, both released after his demise 1998 and 1999 respectively.   "
