index,singer_name,birth_year,death_year,carrer_start_year,career_end_year,gender,famous_songs,other_occupations,instruments_played,personal_life,career
31,Jagath Wickramasinghe,1966,,1983,2022,male,"Obe sina langa, Sagara tharanga, Isuru kodewwe",,"guitar, tabla, sitar, violin, flute","He was born on 10 April 1966 in Kolonnawa. His father L.K Jinadasa Wickramasinghe and mother Aryawathi Chandralatha both were music teachers. His parents were largely involved with many of musical programs in Sri Lanka. Therefore, he used to practice sing and play whatever his parents did during their rehearsals. It is during those days his potential of singing and playing instruments were discovered by his parents. In 1972, he was studying at Ashoka Kanishta Vidyalaya, Maradana and after passing the grade 5 scholarship, he attended Ananda College and studied there up to grade 10. Then he had to study at Anuradhapura Central College as his parents had got an unexpected transfer to Anuradapura. In the school, he was engineering oriented and studied mathematics for G.C.E A/Ls. Later on he followed a civil engineering course and specialized in building construction. Wickramasinghe fulfilled his music knowledge following Sangeeth Visharada Part 2 and Diploma in music (vocal), Bathkande institute of music, Lucknow, India. As well, he did Prathama Examination Music (Instrumental) Thabla, at Bathkande institute of music. He was student of western music Trinity College of London.In the year 2000, he got married with Gayani Kohona and is the father of one son and two daughters: Thidas, Sirini Suhansa and Asini Ashcharya.","During the first half of the 1990s he forwarded an application to the music section of SLBC. He got selected as music producer and he played instruments for programs and composed his own music. He made many contributions to new creations and got much experience as a young musician. Then he worked as a visiting lecture of university of visual & performing and was a lecture in oriental and western music, in the music department of the youth service council Sri Lanka.From 1983 to 1985 he performed as a music consultant of ""Sarvodaya Organization"" and since 1982 to up to now he is performing as a teacher with having experience in music. Since 1991 up to now, he has been touring to around 40 countries performing there as a vocalist, instrumentalist and a director of music. As well, he takes special care to promote our music and culture in foreign countries. His first solo song is Ran Tharakavan composed by himself.In 1990, he participated in an international singing competition and as a best singer of Sri Lanka he represented Abu Golden Kite World Song festival in Maleysia. In the mid 1990s he attached program on TV such as Prathiba, Ridma Tharanga, Shantha Me Ra Yame, Thani Tharuwe, and Nishanthaya. As well, he composed music for films and teledramas such as Sthyadevi, Re Ru, Bhawa Karma, Thunpath Rela, Bopath Ella, Isuru Tharanaya, Pahe Kalliya, Keetaya and Awasan Horaawa.In 1991, he involved as an actor in few television serials such as Kande Gedara, Doo Daruwo, Devi, Shoba saha Darshana, Piya Satahan, Awasan Horawa, Soorya Sihinaya, Athugala Pamula, Shapa Nokaraw Daruwane, and Sasala Ruwa. In 1994, 1995, 1996 he was awarded by Sarasavi film festival and he invited to perform opera called Siddartha at the annual Sai Baba Festival in India representing Sri Lanka as its music composer, arranger, singer and performer In 1995 he was awarded presidential award as a most popular pop music artist (western). In 1998 he won the award for Best young music director and Best teledrama singer at Sumathi Awards. With his experience he held numerous shows both Sri Lanka and Abroad for local and foreign artists and he was assigned to direct the music for 40 Japanese children named Harajuku vocal orchestra. In edition as first music VCD ever in Sri Lanka Thani Tharuwa was issued by himself in 1998 presenting his music and songs issued on Cassettes and CDs. He worked as a judge in Sirasa Superstar in 2004, 2006, 2008, and then with ""Derana London Star"" from 2008 to 2010. Then in 2011, he worked as judge in Rupawahini Ranawiru Real Star, Thurunu Shakthi, Ceylonta, TNL Star, Rupawaahini Gee Muthu 2007 to 2012, ITN Supiri Hapana 2013. In 2005 he won Bunka Award from Japan as well as Sri Lankan western music award as a best DUO Performance and best instrumentalist. As well he awarded as a best singer of 2008 at Raigam Tele'es."
32,Kamal Addararachchi,1962,,1977,2022,male,"Thun sitha dahan gathawena, Unmadawoo premadare","actor, teacher",,"He completed education from Wesley College, Colombo. He showed an initial interest in artistic work, and this prompted him to do music, sinhala literature, Kandyan Dancing and debating, all at the same time. He even worked as the secretary of the 'Sinhala Literary Society' whilst at school. He is married to Anurani Addararachchi and has two sons. He was an English teacher as well.","The play, Ane Ablick, was staged in Colombo in 1978, marked Kamal's first significant public theatre performance. Addararachchi, who broke into the silver screen with Gamini Fonseka's Sagarayak Meda rose to immense popularity with hits such as Saptha Kanya.He is noted for his performances in films such as Saptha Kanya by H. D. Premaratne, Agnidahaya by Jayantha Chandrasiri and teldramas like Hiruta Muvaven by Herbert Ranjith Peiris, Rathu Rosa by Ranjan De Silva, and Weda Hamine and Dandubasna Maanaya by Jayantha Chandrasiri. His performance on the mini screen for Dandubasna Maanaya was twice rewarded at the inaugural Sumathi Tele Awards ceremony in 1995, when he received the award for Best Supporting Actor as well as the Most Popular Actor Award. Kamal consider Dinal Samaranake a leading player as his mentor who was always prepared to offer valuable advice for himself especially when his spirits are down. Kamal was arguably the best actor among the younger generation. In July 2012, he appeared his first music video, with Mahendra Perera and Dayan Vitharana, for the song, ""Hithagaawa"" by Tilan Fernando and directed by Prasanna Andradi. The music video was released in first week of December 2012. He has not appeared in a teledrama since 2005."
33,Karunarathna Divulgane,,,,,male,"Athithaya sihinayak, Epa hasaral, Sudu adagena, Susum lamin mage diha, Adaraya sundara waradaki",,,,Karunarathna Divulgane is a singer and a classical musician in Sri Lanka. He served as the Governor of the North Central Province of Sri Lanka between 13 November 2006 and 27 January 2015. Divulgane attended the reopening of a broadcast tower with many other dignitaries in 2011.
34,Kasun Kalhara,1981,,2000,2022,male,"Aadara mal wala, Aadaraneeya wassaanaya, Pamaawee pipuna, Me obata ahenawada","musician, record producer","guitar, piano, keyboard","Kasun was born in Rajagiriya, Sri Lanka on 3 November 1981. His mother, Malani Bulathsinhala, was a veteran vocalist and his father H. M. Jayawardena was a renowned composer. He had a younger sister, Nirmani Chaya who died in 1991 at the age of three. Kalhara's music career started along with Indrachapa Liyanage and his schoolmates from Ananda College in the year 2000. His mother was highly supportive of his musical career. Once a newspaper interviewer asked her ""what is the most memorable day in your life?"" and she answered ""the day Maestro Premasiri Khemadasa hugged and wished my son Kasun Kalhara, following his first musical concert (Waves of Introspection). That warm hug from Maestro Kemadasa guaranteed that Kasun had a genuine talent and a clear future"".","Kasun has held a number of solo concerts, collaborating with other artists such as ""Kasun Kalhara: Live in Concert"", ""Kasun Kalhara Unforgettable Live in Concert"", ""The Black Red White Concert"", ""Kasun Kalhara in Culture Shock"", ""4U: Live in Concert"" and ""Love U: Live in Concert"". Kasun Kalhara performed in Culture Shock (2013) and Kasun Kalhara in LoveU (2016/2017). Those three concerts became one of the most attended musical shows in history of Sri Lanka with over 5,000 fans gathering around at the Nelum Pokuna Mahinda Rajapaksa Theatre for all the three events. He is one of the biggest and best-selling music artists in Sri Lanka. He is one of the judges in The Voice Sri Lanka 2020."
35,Keerthi Pasquel,1956,,1976,2022,male,"Kandula ithin samaweyan, Sandalatha, Bolanda katha, Kavikariye, Thawa dawasak",,bass guitar,"Keerthi Pasquel was born in the city of Hanthana, Kandy as the youngest of four older siblings. His parents were S. W. Leslin and Pasquel Wasam Gayaneris. His older siblings are Nalini, Rukmani Chandra, Padmasiri and Chitrani. Keerthi studied at Dharmaraja College up until his GCE O/level examination. Keerthi's passion for music was greatly influenced by his family where he grew up amidst soothing music all around his home. The melodious singing prowess of his mother was a huge influence on Keerthi. His father could play the harmonium. Keerthi was just ten years old when his father developed an illness and eventually passed away, eventually leaving his mother to shoulder the responsibility of five children as well as taking over her husband's business. Keerthi's mother's dream was to make him a doctor but he started to follow a course on lathe machinery at the Technical College, after his O Levels. His brother Padmasiri Pasquel was the first member of the family to bring a guitar to their home. He had joined a group called 'Halians' where he played the lead guitar. But Padmasiri never allowed Keerthi to touch the instrument, because he feared the boy might neglect studies if he focused on music. He had three cousin brothers - Bandula, Lalith and Ranjith, who frequently patronized their home to learn the guitar from Padmasiri. So Keerthi started learning about guitar chords from Bandula, on the sly. Gradually, Keerthi learnt the guitar secretly. He took part in school concerts as he could sing well.","As time went on, Keerthi became a permanent member of the 'Galaxies'. Though Keerthi played the bass guitar, at these recordings he was given small percussion instruments like maracas, clappers, triangle and bells. Keerthi was invited by Gretian Ananda to play the bass guitar for four new songs he was planning to record. Rookantha to be on the keyboard, Sarath Wickrema the accordion and Mahinda Bandara was slotted for the lead. The first milestone song was  'Etha Duraka Desa Pawela'. He has been performing for more than three decades and has won a number of awards. Keerthi is a judge on the National reality show 'Derana Dream Star' and sets the record as the only judge in Sri Lanka to sit for 10 consecutive seasons in a reality show beginning from 2008 until today. He has been active in music education and in social welfare."
36,Kumar Navaratnam,,,,,male,,bass guitarist,bass guitar,,"As a musician, he started as a bass guitarist and switched to lead guitar, introducing Rock and Hard Rock to Sri Lankan audiences. His departure to Bourneville, USA at the height of his popularity in the late 1970s created a void in the music scene in Sri Lanka that lasted for sometime. The sheer number of rock music festivals and concerts Navaratnam conducted (famed for running from 6.00pm to 6.00am, particularly at Havelock Park) is yet to be matched by contemporary rock groups on the island. Kumar remains regarded as a pioneer of Sri Lankan Western music."
37,Lahiru Perera,1984,,2008,2022,male,"Labandiye, Dasin pa, Rambari, Sudu gauma, Hawasaka ma","musician, music producer",,"He was born and raised in Kehelbaddara, Udugampola. His latest ventures include a perfume line named La Signore The Fragrance perfumes and colognes.","Lahiru Perera also known by his stage name La Signore is a Sri Lankan singer, musician and music producer who came to limelight with his 2008 breakthrough Hit single ""Rambari""."
38,Lakshman Joseph de Saram,,,,,male,,"film composer, classical musician",,"Born in Colombo, Sri Lanka and educated at the Royal College, Colombo, the High School of Performing Arts, Manhattan School of Music and Juilliard Pre-College in New York City.","Joseph de Saram is influential in the music of South Asian art cinema, having scored many international award-winning films like 'Between Two Worlds' and 'Akasa Kusum.' His best-known score is to the 2012 film Bel Ami. Joseph de Saram is also artistic director of The Chamber Music Society of Colombo. Joseph de Saram has been awarded with four Signis Awards for outstanding original score for a feature film,[4] for Mille Soya in 2005, Machan in 2008, ""Matha"" in 2013, and ""Sulanga Gini Aran"" in 2018.
"
39,Latha Walpola,1934,,,,female,"Sudata sude, Seenu hadin, Namo Mariyani",playback singer,," Walpola was born on 11 November 1934  in Mt Lavinia Colombo, to Joseph Fernando and Elizabeth Muriel. She was one of five children. Her mother, who was a teacher encouraged her daughter to become a vocal artist. Walpola received her primary education at St.,Anthony College in Dehiwala-Mount Lavinia, wherein she led the church choir. She married Dharmadasa Walpola in 1959, later becoming known as Latha Walpola. A ceremonial wedding was held at Siri Kotha, Kollupitiya with a large gathering of guests and artists. The local police had to deploy extra men to control the massive crowd gathered outside Siri Kotha. The couple have three sons and a daughter. In the 1960s and early part of the 1970s, the couple became very popular.","Latha Walpola just was 12 years old when she was introduced to the country by Radio Ceylon as a member of Radio Ceylon's Choir in 1946. C.A. Fonseka, a family friend and radio, dramatist, brought her to Radio Ceylon to perform in his Sarala Gee programme with his son C.D. Fonseka. In 1947 Walpola sang her first solo song, ""Kandulu Denethe Vehena"", with lyrics by Sarath Wimalaweera and music composed by Vincent de Alwis, the resident violinist at Radio Ceylon. She then began to sing under the direction of Mohammed Gauss, P.L.A.Somapala and B.S.Perera, with these famous musicians incorporating her high-pitched tone into their musical creations. By 1950 she was a well known female singer in the country, covering the songs ""Sukomala Banda Lelawa"", ""Dunhinda Helena"" and ""Diyaluma Helena"", originally sung by Chitra Somapala. Walpola has recorded for both the Columbia and HMV record labels. The song ""Malbara Himidiriye Pipune Esala Araliya Mala"", sung with C.T. Fernando, is one of her most popular songs. Her most popular songs were composed by Dr. Premasiri Khemadasa and he appreciated her voice and singing capabilities many times. Today her fans often refer to her as ""The Nightingale of Sri Lanka""."
40,La Bamba (group),,,1966,2022,,"Cock-a-doodle-do, Nuwara menikela, Himidiriye, Lak nadhee",,box guitar,,"La Bambas was an influential Sri Lankan music group, composed of Priya Peiris, Rolinson Ferdinando, Brian Fernando, Erinton Perera and Lasla Fernando. They were one of the first Sinhala groups to utilize a box guitar, and were popular in Sri Lanka during the late 1960s. La Bambas became one of the most popular Sinhala bands of the 1960s. After the band broke up, Priya Peiris pursued a solo career; in the early 2000s (decade), he represented the group at several nostalgia shows. Radio Ceylon, the oldest radio station in South Asia helped popularise their songs.
"
41,Lionel Ranwala,1939,2002,,,male,"Ahase innawalu, Ahuwama kan pirena, Me awurudu kale, Pankiriththi","musician, composer, actor",,"His birth city was Kalubowila and he studied in Kalubowila Budhdhagosha College, Kumara College Wellawatta and Lumbini College, Colombo.","Ranwala's main interest was Sinhala folk music of Sri Lankan. He successfully brought Sinhala folk tunes and melodies to popular Sri Lankan music, preserving their originality. He studied music at the Panjab University, Chandigarh, India and has a sour knowledge of the field. Ranwala, who created a revolution in the local folk music scene along with his mentor W.B. Makuloluwa, started his teaching career at Arawwala MMV in 1959. He taught music at several leading schools including Ananda College, and Royal College, Colombo during a 38-year career.  He popularised local music in schools and formed the first 'Hevisi' band in a school at Pannipitiya Dharmapala Vidyalaya in 1964. Ranwala was also a versatile actor and dramatist. One of his most memorable roles was in the first Sinhala opera 'Depano' directed by Makuloluwa. He also wrote and directed several children's dramas. He acted in several teledramas. His last teledrama was ""Rangamadala Samugani"" which was telecasted in Swarnawahini. He travelled all over the island collecting folk songs for posterity. A staunch defender of indigenous music, he released several cassettes containing experimental folk music, notably 'Ahase Innavalu' in 1999. He formed the 'Thaalama Foundation' for preserving folk music. ""Gama Ahulaggang"", ""May Awurudu kale"" and ""Wannam Sawudam"" are some of his most famous songs. He has two sons, Chirantha and Sahan. The elder, Chirantha is a presenter and producer at Swarnavahini. Sahan is also working at the Swarnawahini, but after his father's sudden death, has now taken the initiative to preserve and make people aware of Sinhala Folk Music, in the same way his father did. His son, Sahan Ranwala doing very well in preserving the legacy of his father.    "
42,Mariazelle Goonetilleke,,,1960,2022,female,Kandy lamissi,musician,guitar,"Mariazelle Goonetilleke was born in Nugegoda located in Colombo, Sri Lanka. Mariazelle became a committed Christian in 2009. According to The Island newspaper: ""Mariazelle is very much into religion and has taken God as her friend and saviour"". She joined the People's Church in Colombo. Mariazelle said: ""I have sung all my life but now there is singing in my heart. The greatest song I sing is with God as my audience"".","She began her music career at the age of seven. At the age of ten Mariazelle won the junior section of the Ceylon Observer All Island Talent Competition. This allowed her to join a pre-teen group of young musicians called the ""Junior Rhythmiers"", a popular Sri Lankan music group. The group became well known in the 1960s when they were featured on Radio Ceylon, the oldest radio station in South Asia. It ""ruled the airwaves"" during the 1950s and 1960s, so any exposure on Radio Ceylon was a huge boost to young artists on the island."
43,Mathangi Arulpragasam,1975,,2000,2022,female,"Sunshowers, Galang, Paper planes","rapper, record producer, activist
","drum machine, percussion
","Mathangi ""Maya"" Arulpragasam was born on 18 July 1975, in Hounslow, London, the daughter of Arul Pragasam, a Sri Lankan Tamil engineer, writer, and activist, and his wife, Kala, a seamstress. When she was six months old, her family moved to Jaffna in northern Sri Lanka, where her brother Sugu was born. There, her father adopted the name Arular and became a political activist and founding member of the Eelam Revolutionary Organisation of Students (EROS), a political Tamil group affiliated with the LTTE. The first 11 years of Arulpragasam's life were marked by displacement caused by the Sri Lankan Civil War. Her family went into hiding from the Sri Lankan Army, and Arulpragasam had little contact with her father during this period. She has described her family as living in ""big-time"" poverty during her childhood but also recalls some of her happiest memories from growing up in Jaffna. Maya attended Catholic convent schools such as the Holy Family Convent, Jaffna, where she developed her art skills - painting in particular - to work her way up her class. ","Arulpragasam cites the radio broadcasts she heard emanating from her neighbours' flats in the late 1980s as some of her first exposures to her earliest musical influences. From there, she developed an interest in hip-hop and dancehall, identifying with ""the starkness of the sound"" in records by Public Enemy, MC Shan and Ultramagnetic MCs; and the ""weird, distinct style"" of acts such as Silver Bullet and London Posse. In college she developed an affinity for punk and the emerging sounds of Britpop and electroclash. M.I.A. cites The Slits, Malcolm McLaren and The Clash as major influences."
44,Mercy Edirisinghe,1945,2014,1964,2012,female,"Gayay mercy gee, Mala watakara bambara rena","actress, comedian",,"She was born on 18 December 1945 in Wellahenawatte, Issanpita, Ambepussa as the third child in a family of nine siblings. Her father Don Lorenzo Elvin Edirisinghe, worked in as a typesetter at the printing press of the Department of Examinations. Her mother Grace Perera was a housewife. She was first educated at Ambepussa Sarasavi College, later at Pamunuwila Roman Catholic College and at St. Joseph's College, Rambukkana Parakrama Mixed School in Kegalle. She had one elder sister: Gert, one elder brother: Leo, four younger sisters: Ranjani, Nimal, Lathika, Raaji and two younger brothers: Nimal and Sunil.Her late husband, Lalith Kotalawela was a Buddhist from Kalutara. The couple had no children. Her devotion to her fans was such that just after her wedding she acted in the stage drama 'Muthu Kumari' at the Lumbini Theater on her way to her honeymoon. Lalith died in 2002 by a tragic accident. Mercy once started a restaurant in Warakapola with Lalith in the year 2000. After his death she became ill, unable to sustain the restaurant.  ","Her first stage performance was in the play Maria Kurenthi performed while at the Pamunuwila Catholic Mixed School at the age of 7. Under the guidance of Father Ernest Poruthota, she participated to the church choir team, where she became an activist in the movement. Father Poruthota invited her to perform in the play Eldiyen Midi Rasata. Mercy entered the public stage in 1967 with Welikadaratne's plays Aluth Dawasak and Ugurata Hora. Meanwhile, she mastered the singing and playing by musician Jayatissa Alahakoon and Kandyan dance by mastering theatrical dance. Then she sent a postcard to an drma acting vacancy advertisement in the 'Visithura' newspaper. With that, she was selected for the play Nil Katarolu produced by Sugathapala de Silva, particularly due to her loud screamy voice. After a brilliant performance in the play, she was later invited to play a role of Japanese-Chinese woman in the play 'Thaththa' produced by Gunasena Galappaththi. According to Mercy, the most difficult play she acted in was Nalin Wijesekera's play Tikki Tikiri Tikirilia.In Pathiraja L.S. Dayananda's play Kwuruth Enne Na, she played an old character. She also performed in Sugathapala de Silva's plays Harima Badu Hayak, Dunna Dunu Gamuwe, Hitha Hoda Ammandi, Muthu Kumari, Thuraga Sanniya; Gunasena Galappaththi's plays Sanda Kinduru, Mudu Puththu; Prema Ranjith Tilakaratne's play Muhunu Sayaki Rookadayaki. However, her most notable stage drama acting came through the plays Tharavo Igilethi by Lucien Bulathsinhala and Ran Kanda by Chandrasena Dassanayake. In 1974, Mercy won the Best Actress Award at the State Drama Festival for her role in R.R. Samarakoon's stage drama 'Idama'. She won two other Best Actress awards in 1975 and 1976.In 1976, she made her maiden cinematic appearance with the film Walmathwuwo directed by Vasantha Obeysekera. Mercy was a very popular voice in Sri Lankan radio drama. She was the ""Doolittle"" on the radio drama Handiya Gedara and was the sister of Jane in Vajira, ""Ungu"" on Samanala Bedda, ""Ethana"" in Muwan Palessa and ""Bagalawathi Iskola Hamine"" in Rasara. Apart from radio, she acted in several television serials, particularly in comedic roles. She made a notable role in the popular comedy sitcom, Vinoda Samaya along with comedy trio - Annesley Dias, Berty Gunathilake and Samuel Rodrigo in 1983. Mercy last played in Lilantha Kumarasiri's serial Amanda with the character ""Podi Nona"".In 2014, she marked her 50th anniversary of her career and in recognition of her service to the arts, she was to be honored with a Lifetime Achievement Award at the 2014 State Drama Festival. Before her death, her autobiography was released titled ""Hela Hasa Rajina: Mercy Edirisinghe"" written by Niranjala Hemamalee Wedikkara."
45,Mignonne Fernando,1943,,1950,2022,female,"Love don't let me down, Someday my love, Coconut man","songwriter, pianist",piano,"At the age of seven, Mignonne won Radio Ceylon's Talent Contest. Her interest in law was overtaken by her passion for music, received formal training in Western classical music, speech and drama. This proved to be her greatest strength and an excellent foundation to her musical career that was to follow.","In 1965, Mignonne along with her group The Jetliners became an instant success under the guidance of manager Tony Fernando who would later become her husband, and their popularity grew. Radio Ceylon, introduced her music not only to a local audience but across South Asia. During the early years of the group the Jetliners enjoyed star billing at the Coconut Grove nightclub situated in the Galle Face Hotel in Colombo. In 1969, she became the first Sri Lankan to be signed up by EMI Records UK, and Keith Prowse Music London. The Ceylonese song 'Wedding Song' (Mangala Mohotha) was her first song to be copyrighted by KPM. Her song ""Love Don't Let Me Down"" won the Embassy Award at the World Popular Song Festival. Another original composition ""Someday My Love"" won the Matsushita Award and Special Jury Award for Composer and Performer at the Festival of Song. A Sinhala composition ""Oba Nisa"" was selected for the finals of the 5th Olympiad of Song in Athens, Greece in 1972 where it won the Gold Medal. ""Coconut Man"" made the finals of the World Popular Song Festival in Tokyo, the first time a female singer/composer has done so."
46,Milton Mallawarachchi,1944,1998,1969,1998,male,"Thani vee sitinnai, Tharaha wenu epa, Sihinen oba mata, Sanda thaniwela","composer, playback singer","tabla, sitar","Mallawarachchi was born on 7 April 1944 in Kotte, Colombo, Sri Lanka as the only child in the family. His father was Upasena Mallawarachchi and mother was Agnes Wickramarachchi. He lost his father at an early age, where he was a courageous child who struggled to win the battle of life with his mother in the midst of many hardships during his school days. He completed his education at Ananda Sastralaya, Kotte. After completing his education, he got his first job as a bill clerk at the Welikada Co-operative and later worked as a cashier at the Nawaloka business.On December 23, 1973, he married Swarnamala Malathi Panangala. The couple had four children: Ranil, Harshini, Nadija, and Tharaka. The song, ""Etha Epita Dura Akase"", written by Karunarathne Abeysekara for Mallawarachchi, is dedicated to his wife Swarna.Eldest son, Ranil Mallawarachchi, continues his father's legacy by performing his songs in shows and concerts. Ranil is married to Nirasha, a fashion blogger. The couple has one son and one daughter. Ranil's son, Pawan Mallawarachchi also entered music to his grandfather's legacy.","As an early singer in the music industry, he became more involved in Hindi singing and also excelled as a guitarist, dholak drummer and tabla player. He was a member of a short-lived musical band called the ""Sakyans"" and subsequently the ""La Ceylonians"" since 1965. Mallawarachchi's vocals on the latter group's Daha Duke Vidyahala and Mal Ravamal led to his discovery by producer Patrick Corea. Corea offered to record four songs with the Mallawarachchi: Oruwaka Pawena, Ran Kooduwak Oba Sadu, Sansare Sewanalle and Mangale Neth Mangale in 1969. These songs were released on the Exvee label as a double set of 78 rpm records in 1969 and gave Mallawarachchi his first popular hit with Oruwaka Pawena. It was the last 78 rpm record set issued for non-film songs in Sri Lanka. These songs created a unique style of singing for Mallawarachchi, and all the melodies he sang became a mesmerising love song that captivated thousands of fans.As the song became popular among radio listeners, he had to undergo a voice audition with the help of radio personalities Premakeerthi de Alwis and Ariyadasa Peiris, and in 1970 he became a Grade A singer at Sri Lanka Broadcasting Corporation. After the first hit, music composer Patrick Denipitiya gave the songs such as Ivuru Thala, Maa Haa Eda and Maa Nisa Oba a modern touch. The song Sayura Theredhi  helped him to become a huge success in outdoor musicals. Mallawarachchi sang songs by Karunaratne Abeysekera, K. D. K. Dharmawardena, Premakirthi de Alwis, Clarence Wijewardena, Upali Danawalawithana, Dharmasiri Gamage, Upali Kannangara, Ajantha Ranasinghe, Shelton Weeraratne, Kularatne Ariyawansa, Ananda Padmasiri, Vernon Perera, Chitrananda Abeysekera, Bandara K. Wijethunga and Vijaya Ramanayake. In 1969, Milton had the opportunity to sing the theme song Ran Dedunu Ran Patin composed by Siri Kularatne for the film Matara Achchi directed by Sathischandra Edirisinghe under the guidance of musician Victor Rathnayake. In 1970, he sang few songs  for the film Ran Onchilla directed by Dharma Sri Caldera under the music of Premasiri Khemadasa. Mallawarachchi debuted as a playback singer in the 1971 film, Poojithayo which was screened before Ran Onchilla. In this film, his first playback song was Sakwala Rathwana.His first duet was Bindu Bindu which was sung with R. Chitra. In 1974, musician Clarence Wijewardena composed the songs Gana Andure, Eda Rae, Mata Men Ohutada and Maga Thotadhii for an EP release on Gemstone. Wijewardena also wrote the popular songs Awasara Natha Mata, Sulange Pawe, Thaniwee Sitinai. In the same year, Mallawarachichi sang with Rukmani Devi on Clarence's song Prem Raja Dahane. After Rukmani's demise, he sang the song with Indrani Perera and Samitha Mudukonduwa. Until 1975, he recorded several radio songs composed by Victor Rathnayake such as Seethala Lana Pini, Paa Sinaha Ae, Obe Neth Epa and Sukha Wedana.One of Mallawarachchi's most successful songs was Me Mai Gaha Yata produced by Melroy Dharmaratne in 1976. It was released on the Silverline label as an EP along with Ran Mudu and two songs - Andanne Epa and Ma Samanalayak - by Shiromie Fernando"".  Mallawarachchi was fortunate to be able to perform the last vocals of the Gramophone era as well as the early vocals of the cassette era. In 1978, Mallawarachchi released the first music audio cassette in Sri Lankan Sinhala music history, ""Sanden Eha"", on the Tharanga label, under the guidance of Vijaya Ramanayake. Mallawarachchi never performed an overseas concert turning numerous invitations down because he was afraid to fly. He was the main male playback singer in the movie Senakeliya which was a box office hit in 1974."
47,Mohideen Baig,1919,1991,1934,1991,male,"Tikiri menike, Awilla awilla Sinhala awurudda, Idiriyata yamu sawoma",,,"Born on 5 December 1918 in Salem, Tamil Nadu, South India as the third of the family, Baig belonged to an Indian tribe called Pathan. Baig's paternal lineage is descended from a pro-Islamic lineage with a centuries-old history. His father Kareem Baig served as a police officer in Salem. Bijan B was his mother. He was educated at a school in Salem and received his primary education in music from several music teachers in Salem particularly talented in singing Urdu and Qawali songs. Kareem and Bijan were the parents of fourteen children, three of whom died in infancy. Baig came to Ceylon in 1931. During this time, Baig's grandfather, Halaldine worked for the Grandpass police and Mohideen's older brother, Aziz worked for the Harbor police. He returned Sri Lanka (then as Ceylon) due to untimely death of his brother Aziz by a boat accident in 1931. At the age of 18, Baig joined the Sri Lanka Army. Baig was married in 1947 to his own cousin, Sakina Baig. They had 8 children, which include 5 sons - Usman, Haider, Mubarak, Ishaq and Ilyas; and 3 girls - Rabia, Salima and Moina. His two sons, Ishaq and Ilyas are popular singers who continue the father's legacy.","During Baig's arrival, he met another Indian Mohammed Gauss, who was born in South India and came to Sri Lanka. Beg participated in the dignitaries' conclave in Colombo with Gauss master. Around that time, Beg was inspired to sing Sinhala songs composed to Hindi tunes at the request of Gauss Master and U.D. Perera. In 1932, Beg was fortunate to sing on Gramophone disc produced by Columbia Records. His first recorded song is Karuna Muhude Namu Gilila sung with K. K. Rajalakshmi at the age of 18. He was a Grade A Singer of the Radio Ceylon who had the ability to singing songs in about four languages. In 1947, Baig made his singing and acting debut with Shanthi Kumar Seneviratne's film Asokamala and sang the popular song Preethi Preethi. He was given the opportunity to playback singing for the film Umathu Vishwasaya by renowned actor and songwriter Herbert M. Seneviratne. In that film, he made the duet song Sudata Sude with Rukmani. However, he did not get a chance to sing with Rukmini on gramophone discs as they both belong to two competing disc companies - Colombia and HMV respectively. Later, he made several playback duets with songstress and actress Rukmani Devi for the films Iranganie, Mathabedhaya, Perakadoru Bena and Daivayogaya. In 1956, Baig was fortunate enough to sing the song 2500 Buddha Jayanthi Babalewa Lanka during the Buddha Jayanthi celebrations. Later, Prime Minister S.W.R.D. Bandaranaike awarded Baig with a Distinguished Citizenship in the same year. Meanwhile he sung Buddhist devotional music and achieved fame with songs such as Buddham Saranam, Maayaa, Giri Hel Mudune, Aadara Nadiya Gala, Pem Mal Maala, Wella Simbina Rella, Anna Sudo, Thaniwai Upanne, and Loke Sihinayak Wageya. This popularity led to appearances at distinguished events such as the country's first Independence Day Ceremony.  His Buddhist song Suwande Mata Seethala has been highly popularized in Sri Lanka, where there is hardly a Vesak, Poson festival, pandal, lantern, dansal or any other Buddhist festival in the country where this song is not heard."
48,The Moonstones (band),,,1966,1970,,"Mango nenda, Kalu mama, Ruwan puraya, Gonwassa",,,,"The Moonstones was an influential Sri Lankan band, led by Clarence Wijewardene and Annesley Malewana. It also included Mangala Rodrigo on lead guitar and Sunil Malawana on bass guitar. Originating in Ratnapura, the group was one of the most popular Sri Lankan bands during the 1960s. Wijewardene formed the group in 1966 after finding a fitting lead vocalist in friend Annesley Malawana. His earlier choice for the position, another friend, had failed to please his manager Sri Sangabo Corea. Corea named the group ""The Moonstones"" after the leading export of the group's hometown and for how talented he considered the band. With a lineup set, the Moonstone(s) began to dominate Sinhala popular music with hits like ""Mango Nenda"", ""Kalu Mama"", ""Ruwan Puraya"", and ""Gonwassa"" among others. Indrani Perera joined in 1968, and sang on several of the group's subsequent hits like ""Dilhani"". Wijewardene left in 1970. Annesley continued the group with Mike Gunesekera and had a hit single with ""Dunhinda Manamali"". The band eventually broke up; Malawana and Wijewardene reunited in a similar group, Super Golden Chimes."
